云商通订单号|订单类型|交易金额(单位:分)|手续费金额(单位:分)|交易时间|商户订单编号|渠道金额|渠道流水号|渠道手续费(单位:分)|云商通手续费(单位:分)|分期金额(单位:分)|持卡人手续费(单位:分)|扩展参数|预付卡是否结算|预付卡交易金额(单位:分)|支付方式|原商户订单号|原云商通订单号|渠道交易类型|卡号|卡类别|渠道配置商户号|渠道交易商户号|
1593998409331654656|消费|65800|0|2022-11-20 00:03:37|2211207381068762857|65800|221120128930790228|263|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****qrzw|-|5603020591235AN|5603020591235AN|
1593999933495590912|消费|13500|0|2022-11-20 00:09:44|2211207417368347166|13500|221120116046475162|54|0|0|0||||WECHATPAY_MINIPROGRAM_ORG|||微信支付|o3OMr5****g164|-|561301059126Z30|5533020591240AP|
1594027998879694848|平台转账|15519236|0|2022-11-20 02:01:05|5b69b728-b3ae-4e9e-acb5-04da52ad8ab0|0|0|0|0|0|0||||||||||||
1594028001018781696|平台转账|44824|0|2022-11-20 02:01:06|6242d1d9-a122-4c7f-8540-892733a2eb91|0|0|0|0|0|0||||||||||||
1594028003921244160|平台转账|183961|0|2022-11-20 02:01:06|424acb6b-c6a0-4a52-9f25-7aa1c9e49c79|0|0|0|0|0|0||||||||||||
1594028006186172416|平台转账|597500|0|2022-11-20 02:01:07|f11e70d5-c5de-4479-88cf-bd493bbc5b6b|0|0|0|0|0|0||||||||||||
1594028008111345664|平台转账|6539699|0|2022-11-20 02:01:07|00045044-a109-4cc9-972b-a448852fd6bf|0|0|0|0|0|0||||||||||||
1594028009503866880|平台转账|14033551|0|2022-11-20 02:01:07|6d80cdd7-b4ba-48a7-b851-35eb08ee5826|0|0|0|0|0|0||||||||||||
1594028011080916992|平台转账|1287734|0|2022-11-20 02:01:08|87635094-21c9-43c1-a4c5-5b852fad943d|0|0|0|0|0|0||||||||||||
1594046323701583872|消费|161820|0|2022-11-20 03:14:19|2211208523368876425|161820|221120125530775240|647|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****3JhU|-|5603020591235AN|5603020591235AN|
1594087929280471040|消费|53500|0|2022-11-20 05:59:23|2211209515368370770|53500|221120123230776672|214|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****ejEw|-|5603020591235AN|5603020591235AN|
1594104560622768128|消费|18270|0|2022-11-20 07:05:47|2211209911868990478|18270|221120123630784575|73|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****xg-8|信用卡|5603020591235AN|5603020591235AN|
1594111237900210176|消费|38970|0|2022-11-20 07:31:57|2211200071068980781|38970|221120122530789856|156|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****uN-U|-|5603020591235AN|5603020591235AN|
1594111330388815872|消费|46200|0|2022-11-20 07:32:21|2211200073268594181|46200|221120113746484851|185|0|0|0||||WECHATPAY_MINIPROGRAM_ORG|||微信支付|o3OMr5****CSMY|-|561301059126Z30|5533020591240AP|
1594111501105377280|消费|16800|0|2022-11-20 07:33:03|2211200077368629557|16800|221120126430784541|67|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****pc7s|-|5603020591235AN|5603020591235AN|
1594114955026640896|消费|265500|0|2022-11-20 07:46:44|2211200159668534614|265500|221120120630793166|1062|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****DDbE|信用卡|5603020591235AN|5603020591235AN|
1594115712182403072|消费|25400|0|2022-11-20 07:49:47|2211200177768897540|25400|221120124330780375|102|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****nuxs|信用卡|5603020591235AN|5603020591235AN|
1594115775629635584|消费|61800|0|2022-11-20 07:50:00|2211200179268743425|61800|221120124130784879|247|0|0|0||||WECHAT_PUBLIC|||微信支付|o2mUlw****aj7U|-|5603020591235AN|5603020591235AN|
